dataset,scenario,strategy,model,fold,best_val_score,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence,regression_head_rmse,regression_head_r2
student-mat,early,none,cnn_bilstm_v27,1,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.608081978554455,-1.4065982932175047,0.3694053292274475,11.266306999709755,-4.277356097733457
student-mat,early,none,cnn_bilstm_v27,2,0.21843971631205672,0.4873417721518987,0.16244725738396623,0.3333333333333333,0.21843971631205672,0.0,0.0,4.329396134113388,-0.06098575804780282,0.363172322511673,11.216408935794393,-6.121353979777083
student-mat,early,class_weight,cnn_bilstm_v27,1,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.608081978554455,-1.4065982932175047,0.3678950071334839,11.266703000428326,-4.277727093044495
student-mat,early,class_weight,cnn_bilstm_v27,2,0.21843971631205672,0.4873417721518987,0.16244725738396623,0.3333333333333333,0.21843971631205672,0.0,0.0,4.329396134113388,-0.06098575804780282,0.34985435009002686,11.214821800459207,-6.119338762083438
student-mat,early,smotenc,cnn_bilstm_v27,1,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.608081978554455,-1.4065982932175047,0.363745778799057,11.142953469833767,-4.162426379081086
student-mat,early,smotenc,cnn_bilstm_v27,2,0.21843971631205672,0.4873417721518987,0.16244725738396623,0.3333333333333333,0.21843971631205672,0.0,0.0,4.329396134113388,-0.06098575804780282,0.3520597517490387,11.098732344713975,-5.972710924292172
student-mat,early,random_oversampling,cnn_bilstm_v27,1,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.608081978554455,-1.4065982932175047,0.3633037507534027,11.142942115713568,-4.162415858570537
student-mat,early,random_oversampling,cnn_bilstm_v27,2,0.21843971631205672,0.4873417721518987,0.16244725738396623,0.3333333333333333,0.21843971631205672,0.0,0.0,4.329396134113388,-0.06098575804780282,0.35217612981796265,11.097945388367382,-5.971722158294654
student-mat,early,focal_loss,cnn_bilstm_v27,1,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.608081978554455,-1.4065982932175047,0.3671608567237854,11.266535028872372,-4.2775697264354084
student-mat,early,focal_loss,cnn_bilstm_v27,2,0.23989769820971865,0.4873417721518987,0.23224400871459694,0.3404985818778922,0.23989769820971865,0.0,0.0,4.619201805123446,-0.20778262259620295,0.3424625098705292,11.214364162629368,-6.118757743084916
student-mat,early,smotenc_focal_loss,cnn_bilstm_v27,1,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.608081978554455,-1.4065982932175047,0.35865697264671326,11.148265978007126,-4.167350023440595
student-mat,early,smotenc_focal_loss,cnn_bilstm_v27,2,0.1039426523297491,0.18354430379746836,0.061571125265392775,0.3333333333333333,0.1039426523297491,0.0,0.0,7.748928059799585,-2.398898238405881,0.3624224066734314,11.103681810050363,-5.9789312537962696
student-mat,midterm,none,cnn_bilstm_v27,1,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.608081978554455,-1.4065982932175047,0.36915123462677,11.26730496242446,-4.2782910692151015
student-mat,midterm,none,cnn_bilstm_v27,2,0.21843971631205672,0.4873417721518987,0.16244725738396623,0.3333333333333333,0.21843971631205672,0.0,0.0,4.329396134113388,-0.06098575804780282,0.3635750710964203,11.214301615610413,-6.118678334956673
student-mat,midterm,class_weight,cnn_bilstm_v27,1,0.16507936507936508,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.608081978554455,-1.4065982932175047,0.3677501082420349,11.268238072183639,-4.279165356166218
student-mat,midterm,class_weight,cnn_bilstm_v27,2,0.21843971631205672,0.4873417721518987,0.16244725738396623,0.3333333333333333,0.21843971631205672,0.0,0.0,4.329396134113388,-0.06098575804780282,0.3491362929344177,11.214174657908877,-6.1185171540014
