run_id,trial_id,timestamp,stage_name,dataset,stage,architecture_id,d_fuse,cnn_channels,bilstm_hidden,lr,weight_decay,dropout,batch_size,pos_weight_multiplier,entropy_floor_coefficient,inner_fold,seed,pr_auc,risk_f1,risk_recall,risk_precision,accuracy,balanced_accuracy,ece,brier,nll,stop_pr_auc,train_pr_auc,generalization_gap,best_epoch,parameter_count,device,amp,outer_test_used,status
SA_uci_d64_c64_h64_lr0.0002_wd0.0002_do0.2_b256_pw1.0_ent0.002_f0_s42,,2026-08-18T17:37:31Z,SA,uci,S0,C0,64,64,64,0.0002,0.0002,0.2,256,1.0,0.002,0,42,0.4645316466225341,0.47058823529411764,0.7868852459016393,0.3356643356643357,0.6197183098591549,0.6804381386458869,0.16357987657399245,0.17480634772496004,0.5334501245335332,0.31041780363067645,0.575249872071816,0.11071822544928189,20,167365,cuda:0,True,False,ok
SA_uci_d64_c64_h64_lr0.0002_wd0.0002_do0.2_b256_pw1.0_ent0.002_f0_s42,,2026-08-18T17:37:31Z,SA,uci,S1,C0,64,64,64,0.0002,0.0002,0.2,256,1.0,0.002,0,42,0.7721032317934922,0.6274509803921569,0.5245901639344263,0.7804878048780488,0.8661971830985915,0.7421157097699037,0.17135712055778,0.12309811522733312,0.40387814371303543,0.8453612647894264,0.8677793928675894,0.09567616107409727,20,167365,cuda:0,True,False,ok
SA_uci_d64_c64_h64_lr0.0002_wd0.0002_do0.2_b256_pw1.0_ent0.002_f0_s42,,2026-08-18T17:37:31Z,SA,uci,S2,C0,64,64,64,0.0002,0.0002,0.2,256,1.0,0.002,0,42,0.86709093899714,0.7846153846153846,0.8360655737704918,0.7391304347826086,0.9014084507042254,0.8776740424906271,0.14049801592465863,0.09318791595699867,0.3254325554819461,0.9003985511079862,0.9188278616486533,0.051736922651513306,20,167365,cuda:0,True,False,ok
SA_oulad_d64_c64_h64_lr0.0002_wd0.0002_do0.2_b256_pw1.0_ent0.002_f0_s42,,2026-08-18T17:40:25Z,SA,oulad,20pct,C0,64,64,64,0.0002,0.0002,0.2,256,1.0,0.002,0,42,0.7658768362150755,0.6828446241995282,0.8020585906571654,0.5944835680751174,0.6807463952502121,0.6959239228144836,0.06801349154536862,0.18691627620470447,0.552428422204374,0.7550285590599477,0.7816360608616522,0.01575922464657664,20,168005,cuda:0,True,False,ok
SA_oulad_d64_c64_h64_lr0.0002_wd0.0002_do0.2_b256_pw1.0_ent0.002_f0_s42,,2026-08-18T17:40:26Z,SA,oulad,35pct,C0,64,64,64,0.0002,0.0002,0.2,256,1.0,0.002,0,42,0.8107862844936653,0.6938020351526365,0.6513243595310465,0.7422068283028204,0.7665726375176305,0.7483395320955915,0.039496595344055675,0.15924535079399862,0.48196551840974494,0.7970990219604553,0.8196090623844727,0.008822777890807432,20,168005,cuda:0,True,False,ok
SA_oulad_d64_c64_h64_lr0.0002_wd0.0002_do0.2_b256_pw1.0_ent0.002_f0_s42,,2026-08-18T17:40:27Z,SA,oulad,50pct,C0,64,64,64,0.0002,0.0002,0.2,256,1.0,0.002,0,42,0.85742897009989,0.7440119760479041,0.7127151051625239,0.7781837160751566,0.8121223219190624,0.7932824561134674,0.01465440835006298,0.1282346955321461,0.40145894480028727,0.8483147896369178,0.8535394924446249,-0.00388947765526515,20,168005,cuda:0,True,False,ok
SA_oulad_d64_c64_h64_lr0.0002_wd0.0002_do0.2_b256_pw1.0_ent0.002_f0_s42,,2026-08-18T17:40:28Z,SA,oulad,75pct,C0,64,64,64,0.0002,0.0002,0.2,256,1.0,0.002,0,42,0.8957586141870089,0.7942497753818508,0.7534090909090909,0.8397720075997467,0.8660557613569897,0.8391563115572466,0.016787611291634703,0.09449452852821982,0.3117175280492836,0.8867149514388918,0.8929597643850959,-0.002798849801912917,20,168005,cuda:0,True,False,ok
SA_uci_d64_c64_h96_lr0.0002_wd0.0002_do0.2_b256_pw1.0_ent0.002_f0_s42,,2026-08-18T17:40:36Z,SA,uci,S0,C0,64,64,96,0.0002,0.0002,0.2,256,1.0,0.002,0,42,0.43235894540217534,0.40601503759398494,0.8852459016393442,0.2634146341463415,0.44366197183098594,0.6040579283981474,0.17197010545453556,0.1779025352866172,0.5412364037154025,0.23685168150671465,0.5650341980142612,0.1326752526120859,20,233413,cuda:0,True,False,ok
SA_uci_d64_c64_h96_lr0.0002_wd0.0002_do0.2_b256_pw1.0_ent0.002_f0_s42,,2026-08-18T17:40:36Z,SA,uci,S1,C0,64,64,96,0.0002,0.0002,0.2,256,1.0,0.002,0,42,0.7777423172655213,0.6771653543307087,0.7049180327868853,0.6515151515151515,0.8556338028169014,0.8008895096669852,0.1802630198883339,0.1254157862148387,0.41357016296046095,0.8461268003006497,0.8760535198604977,0.09831120259497639,20,233413,cuda:0,True,False,ok
SA_uci_d64_c64_h96_lr0.0002_wd0.0002_do0.2_b256_pw1.0_ent0.002_f0_s42,,2026-08-18T17:40:36Z,SA,uci,S2,C0,64,64,96,0.0002,0.0002,0.2,256,1.0,0.002,0,42,0.8754156515495921,0.7047619047619048,0.6065573770491803,0.8409090909090909,0.8908450704225352,0.7875836212600162,0.15109261618533604,0.09649370904088231,0.333464814756712,0.9325853445030867,0.9360143527685736,0.06059870121898148,20,233413,cuda:0,True,False,ok
