experiment_id,scenario,model_name,outer_fold,training_seed,expected_records,actual_rows,unique_records,missing_records,outside_records,valid
S3,late_stage,cnn_bilstm,1,72,63,63,63,0,0,True
S3,late_stage,cnn_bilstm,1,82,63,63,63,0,0,True
S3,late_stage,cnn_bilstm,2,42,63,63,63,0,0,True
S3,late_stage,cnn_bilstm,2,52,63,63,63,0,0,True
S3,late_stage,cnn_bilstm,2,62,63,63,63,0,0,True
S3,late_stage,cnn_bilstm,2,72,63,63,63,0,0,True
S3,late_stage,cnn_bilstm,2,82,63,63,63,0,0,True
S3,late_stage,cnn_bilstm,3,42,63,63,63,0,0,True
S3,late_stage,cnn_bilstm,3,52,63,63,63,0,0,True
S3,late_stage,cnn_bilstm,3,62,63,63,63,0,0,True
S3,late_stage,cnn_bilstm,3,72,63,63,63,0,0,True
S3,late_stage,cnn_bilstm,3,82,63,63,63,0,0,True
S3,late_stage,cnn_bilstm,4,42,63,63,63,0,0,True
S3,late_stage,cnn_bilstm,4,52,63,63,63,0,0,True
S3,late_stage,cnn_bilstm,4,62,63,63,63,0,0,True
S3,late_stage,cnn_bilstm,4,72,63,63,63,0,0,True
S3,late_stage,cnn_bilstm,4,82,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,0,42,64,64,64,0,0,True
S4,late_stage,cnn_bilstm,0,52,64,64,64,0,0,True
S4,late_stage,cnn_bilstm,0,62,64,64,64,0,0,True
S4,late_stage,cnn_bilstm,0,72,64,64,64,0,0,True
S4,late_stage,cnn_bilstm,0,82,64,64,64,0,0,True
S4,late_stage,cnn_bilstm,1,42,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,1,52,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,1,62,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,1,72,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,1,82,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,2,42,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,2,52,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,2,62,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,2,72,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,2,82,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,3,42,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,3,52,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,3,62,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,3,72,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,3,82,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,4,42,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,4,52,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,4,62,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,4,72,63,63,63,0,0,True
S4,late_stage,cnn_bilstm,4,82,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,0,42,64,64,64,0,0,True
S5,late_stage,cnn_bilstm,0,52,64,64,64,0,0,True
S5,late_stage,cnn_bilstm,0,62,64,64,64,0,0,True
S5,late_stage,cnn_bilstm,0,72,64,64,64,0,0,True
S5,late_stage,cnn_bilstm,0,82,64,64,64,0,0,True
S5,late_stage,cnn_bilstm,1,42,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,1,52,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,1,62,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,1,72,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,1,82,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,2,42,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,2,52,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,2,62,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,2,72,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,2,82,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,3,42,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,3,52,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,3,62,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,3,72,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,3,82,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,4,42,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,4,52,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,4,62,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,4,72,63,63,63,0,0,True
S5,late_stage,cnn_bilstm,4,82,63,63,63,0,0,True
