schema_name,table_name,index_name,index_definition
public,ml_experiment_runs,idx_ml_runs_dataset,CREATE INDEX idx_ml_runs_dataset ON public.ml_experiment_runs USING btree (dataset_version_id)
public,ml_experiment_runs,idx_ml_runs_environment_lock_hash,CREATE INDEX idx_ml_runs_environment_lock_hash ON public.ml_experiment_runs USING btree (environment_lock_hash)
public,ml_experiment_runs,idx_ml_runs_git_commit,CREATE INDEX idx_ml_runs_git_commit ON public.ml_experiment_runs USING btree (git_commit)
public,ml_experiment_runs,idx_ml_runs_status,CREATE INDEX idx_ml_runs_status ON public.ml_experiment_runs USING btree (status)
public,ml_experiment_runs,ml_experiment_runs_pkey,CREATE UNIQUE INDEX ml_experiment_runs_pkey ON public.ml_experiment_runs USING btree (run_id)
public,ml_experiment_runs,uq_ml_experiment_runs_run_dataset,"CREATE UNIQUE INDEX uq_ml_experiment_runs_run_dataset ON public.ml_experiment_runs USING btree (run_id, dataset_version_id)"
public,ml_predictions,idx_ml_predictions_record,CREATE INDEX idx_ml_predictions_record ON public.ml_predictions USING btree (record_id)
public,ml_predictions,idx_ml_predictions_run,CREATE INDEX idx_ml_predictions_run ON public.ml_predictions USING btree (run_id)
public,ml_predictions,ml_predictions_pkey,CREATE UNIQUE INDEX ml_predictions_pkey ON public.ml_predictions USING btree (prediction_id)
public,ml_predictions,uq_ml_predictions_run_record_split,"CREATE UNIQUE INDEX uq_ml_predictions_run_record_split ON public.ml_predictions USING btree (run_id, record_id, split_name)"
public,ml_recommendations,idx_ml_recommendations_prediction,CREATE INDEX idx_ml_recommendations_prediction ON public.ml_recommendations USING btree (prediction_id)
public,ml_recommendations,idx_ml_recommendations_risk_band,CREATE INDEX idx_ml_recommendations_risk_band ON public.ml_recommendations USING btree (risk_band)
public,ml_recommendations,ml_recommendations_pkey,CREATE UNIQUE INDEX ml_recommendations_pkey ON public.ml_recommendations USING btree (recommendation_id)
public,ml_recommendations,uq_ml_recommendations_prediction_policy,"CREATE UNIQUE INDEX uq_ml_recommendations_prediction_policy ON public.ml_recommendations USING btree (prediction_id, policy_version)"
public,ml_run_metrics,idx_ml_run_metrics_name,CREATE INDEX idx_ml_run_metrics_name ON public.ml_run_metrics USING btree (metric_name)
public,ml_run_metrics,idx_ml_run_metrics_run,CREATE INDEX idx_ml_run_metrics_run ON public.ml_run_metrics USING btree (run_id)
public,ml_run_metrics,ml_run_metrics_pkey,CREATE UNIQUE INDEX ml_run_metrics_pkey ON public.ml_run_metrics USING btree (metric_id)
public,ml_run_metrics,uq_ml_run_metrics_key,"CREATE UNIQUE INDEX uq_ml_run_metrics_key ON public.ml_run_metrics USING btree (run_id, split_name, metric_name, label_scope)"
public,ml_run_record_splits,idx_ml_run_record_splits_record,"CREATE INDEX idx_ml_run_record_splits_record ON public.ml_run_record_splits USING btree (dataset_version_id, record_id)"
public,ml_run_record_splits,idx_ml_run_record_splits_run,CREATE INDEX idx_ml_run_record_splits_run ON public.ml_run_record_splits USING btree (run_id)
public,ml_run_record_splits,idx_ml_run_record_splits_split,CREATE INDEX idx_ml_run_record_splits_split ON public.ml_run_record_splits USING btree (split_name)
public,ml_run_record_splits,pk_ml_run_record_splits,"CREATE UNIQUE INDEX pk_ml_run_record_splits ON public.ml_run_record_splits USING btree (run_id, record_id)"
public,ml_run_record_splits,uq_ml_run_record_splits_prediction_ref,"CREATE UNIQUE INDEX uq_ml_run_record_splits_prediction_ref ON public.ml_run_record_splits USING btree (run_id, record_id, split_name)"
